/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	990	Jacquelin Holzman	served as	mayor of Ottawa	0	2	2	4	4	7	0.9760611575122404	Jacquelin Holzman served as mayor of Ottawa , Canada , from 1991 to 1997 .	NNP NNP VBD IN NN IN NNP , NNP , IN CD TO CD .	B-NP I-NP B-VP B-PP B-NP I-NP I-NP O B-NP O B-PP B-NP B-PP B-NP O	jacquelin holzman	serve as	mayor of ottawa
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	998	he	chose not to run for	re-election	1	2	2	7	7	8	0.19831658751600653	When he chose not to run for re-election , Holzman ran against left-leaning councillor Nancy Smith .	WRB PRP VBD RB TO VB IN NN , NNP VBD IN JJ NN NNP NNP .	B-ADVP B-NP B-VP O B-VP I-VP B-PP B-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	he	choose to run for	re-election
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	998	Holzman	ran against	left-leaning councillor Nancy Smith	9	10	10	12	12	16	0.9368965071669411	When he chose not to run for re-election , Holzman ran against left-leaning councillor Nancy Smith .	WRB PRP VBD RB TO VB IN NN , NNP VBD IN JJ NN NNP NNP .	B-ADVP B-NP B-VP O B-VP I-VP B-PP B-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	holzman	run against	left-leaning councillor nancy smith
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	999	Holzman	ran on	a pro-development and tax cut platform	0	1	1	3	3	9	0.9988778750670958	Holzman ran on a pro-development and tax cut platform and defeated Smith and interim mayor Marc Laviolette .	NNP VBD IN DT JJ CC NN NN NN CC VBD NNP CC JJ NN NNP NNP .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP O B-NP I-NP I-NP I-NP O	holzman	run on	a pro-development and tax cut platform
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	999	Holzman	defeated	Smith	0	1	10	11	11	12	0.9682284862181842	Holzman ran on a pro-development and tax cut platform and defeated Smith and interim mayor Marc Laviolette .	NNP VBD IN DT JJ CC NN NN NN CC VBD NNP CC JJ NN NNP NNP .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP O B-NP I-NP I-NP I-NP O	holzman	defeat	smith
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1000	she	worked for	the ' Yes ' side	5	6	6	8	8	13	0.2814229640528262	During her first term , she worked for the ' Yes ' side in the Charlottetown Accord referendum .	IN PRP$ JJ NN , PRP VBD IN DT '' UH '' NN IN DT NNP NNP NN .	B-PP B-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	she	work for	the yes side
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1001	She	worked hard to increase	Ottawa 's international status	0	1	1	5	5	9	0.9999999994265711	She worked hard to increase Ottawa 's international status .	PRP VBD JJ TO VB NNP POS JJ NN .	B-NP B-VP B-ADJP B-VP I-VP B-NP I-NP I-NP I-NP O	she	work hard to increase	ottawa 's international status
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1002	she	represented	Ottawa	2	3	3	4	4	5	0.24997356811023755	In 1993 she represented Ottawa in Tokyo at the Third Capitals of the World Conference .	IN CD PRP VBD NNP IN NNP IN DT NNP NNP IN DT NNP NNP .	B-PP B-NP B-NP B-VP B-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	she	represent	ottawa
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1003	she	led a trade mission to	Taiwan	5	6	6	11	11	12	0.23962775428997843	In the same month , she led a trade mission to Taiwan to promote Taiwanese investment and tourism in Ottawa .	IN DT JJ NN , PRP VBD DT NN NN TO NNP TO VB JJ NN CC NN IN NNP .	B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-PP B-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP O	she	lead trade mission to	taiwan
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1004	she	was a strong supporter of	Taiwan	4	5	5	10	10	11	0.06163013535130495	During her term , she was a strong supporter of Taiwan establishing an office in Ottawa .	IN PRP$ NN , PRP VBD DT JJ NN IN NNP VBG DT NN IN NNP .	B-PP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP O	she	be supporter of	taiwan
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1005	she	faced a number of	challengers	5	6	6	10	10	11	0.08416998776612304	In the 1994 mayoral election she faced a number of challengers .	IN DT CD JJ NN PRP VBD DT NN IN NNS .	B-PP B-NP I-NP I-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP O	she	face number of	challengers
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1006	She	was accused of	arrogance	0	1	1	4	4	5	0.3313960676904491	She was accused of arrogance for planning an expedition to China under the assumption she would win re-election .	PRP VBD VBN IN NN IN VBG DT NN TO NNP IN DT NN PRP MD VB NN .	B-NP B-VP I-VP B-PP B-NP B-PP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP B-NP B-VP I-VP B-NP O	she	accuse of	arrogance
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1006	she	would win	re-election	14	15	15	17	17	18	0.03934620262736201	She was accused of arrogance for planning an expedition to China under the assumption she would win re-election .	PRP VBD VBN IN NN IN VBG DT NN TO NNP IN DT NN PRP MD VB NN .	B-NP B-VP I-VP B-PP B-NP B-PP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP B-NP B-VP I-VP B-NP O	she	win	re-election
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1008	One major debate	was over	the mayor 's desire	0	3	3	5	5	9	0.21478791565454006	One major debate was over the mayor 's desire to add an expensive unity tower to the new city hall .	CD JJ NN VBD IN DT NN POS NN TO VB DT JJ NN NN TO DT JJ NN NN .	B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	# major debate	be over	the mayor 's desire
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1009	it	remains	today	7	8	8	9	9	10	0.20044748623282668	The tower was left unfinished , as it remains today .	DT NN VBD VBN JJ , IN PRP VBZ NN .	B-NP I-NP B-VP I-VP B-ADJP O B-SBAR B-NP B-VP B-NP O	it	remain	today
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1010	she	would not run for	re-election	6	7	7	11	11	12	0.05698932376525786	In November 1996 she announced that she would not run for re-election , citing the desire to spend more time with her family .	IN NNP CD PRP VBD IN PRP MD RB VB IN NN , VBG DT NN TO VB JJR NN IN PRP$ NN .	B-PP B-NP I-NP B-NP B-VP B-SBAR B-NP B-VP I-VP I-VP B-PP B-NP O B-VP B-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP O	she	run for	re-election
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1011	She	was expected to face	a difficult election	0	1	1	5	5	8	0.21992514709402025	She was expected to face a difficult election against city councillor Jim Watson .	PRP VBD VBN TO VB DT JJ NN IN NN NN NNP NNP .	B-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	she	expect to face	a difficult election
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1012	she	became head of	the Ottawa Congress Centre	7	8	8	11	11	15	0.5193689834555879	After leaving the mayor 's office , she became head of the Ottawa Congress Centre .	IN VBG DT NN POS NN , PRP VBD NN IN DT NNP NNP NNP .	B-PP B-VP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O	she	become head of	the ottawa congress centre
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1013	she	was diagnosed with	breast cancer	3	4	4	7	7	9	0.31977181802231625	The next year she was diagnosed with breast cancer , but was treated successfully , and became an advocate for breast cancer related causes .	DT JJ NN PRP VBD JJ IN NN NN , CC VBD VBN RB , CC VBD DT NN IN NN NN VBN NNS .	B-NP I-NP I-NP B-NP B-VP B-ADJP B-PP B-NP I-NP O O B-VP I-VP B-ADVP O O B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	she	be diagnosed with	breast cancer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1013	breast cancer	became an advocate for	breast cancer related causes	7	9	16	20	20	24	0.9189492287231231	The next year she was diagnosed with breast cancer , but was treated successfully , and became an advocate for breast cancer related causes .	DT JJ NN PRP VBD JJ IN NN NN , CC VBD VBN RB , CC VBD DT NN IN NN NN VBN NNS .	B-NP I-NP I-NP B-NP B-VP B-ADJP B-PP B-NP I-NP O O B-VP I-VP B-ADVP O O B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	breast cancer	become advocate for	breast cancer related causes
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1014	she	became chair of	the Ottawa Health Research Institute	2	3	3	6	6	11	0.2318711367782861	In 2002 she became chair of the Ottawa Health Research Institute .	IN CD PRP VBD NN IN DT NNP NNP NNP NNP .	B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	she	become chair of	the ottawa health research institute
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1015	She	remained head of	the Congress Centre	0	1	1	4	4	7	0.5878264246567749	She remained head of the Congress Centre before retiring in 2004 .	PRP VBD NN IN DT NNP NNP IN VBG IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-VP B-PP B-NP O	she	remain head of	the congress centre
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	1016	she	was appointed to	the board of the National Capital Commission	2	3	3	6	6	13	0.6033288129371552	In 2007 she was appointed to the board of the National Capital Commission .	IN CD PRP VBD VBN TO DT NN IN DT NNP NNP NNP .	B-PP B-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	she	appoint to	the board of the national capital commission
