/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7661	Jacques Poos	is	a Luxembourgian politician	0	2	2	3	3	6	0.9999999998901186	Jacques Poos is a Luxembourgian politician .	NNP NNP VBZ DT JJ NN .	B-NP I-NP B-VP B-NP I-NP I-NP O	jacques poos	be	a luxembourgian politician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7670	he	was one of	the negotiators of the Brioni Agreement	2	3	3	6	6	12	0.028336385686465067	In 1991 he was one of the negotiators of the Brioni Agreement that ended the ten-day war in Slovenia .	IN CD PRP VBD CD IN DT NNS IN DT NNP NNP IN VBD DT JJ NN IN NNP .	B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-UCP B-VP B-NP I-NP I-NP B-PP B-NP O	he	be one of	the negotiators of the brioni agreement
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7670	one of the negotiators of the Brioni Agreement	ended the ten-day war in	Slovenia	4	12	13	18	18	19	0.4624049356413016	In 1991 he was one of the negotiators of the Brioni Agreement that ended the ten-day war in Slovenia .	IN CD PRP VBD CD IN DT NNS IN DT NNP NNP IN VBD DT JJ NN IN NNP .	B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-UCP B-VP B-NP I-NP I-NP B-PP B-NP O	# of the negotiators of the brioni agreement	end war in	slovenia
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7672	1999 Dr. Poos	left	the government ¬ †	1	4	4	5	5	9	0.8163887230714543	In 1999 Dr. Poos left the government ¬ † and was elected as a Member of European Parliament , where he sat on the Committee for Foreign Affairs , Human Rights , Common Security and Defense Policy , and was the draftsman for Cyprus‚Äô accession into the EU.	IN CD NNP NNP VBD DT NN NN NN CC VBD VBN IN DT NNP IN NNP NNP , WRB PRP VBD IN DT NNP IN NNP NNP , NNP NNPS , NNP NNP CC NNP NNP , CC VBD DT NN IN NNP NN IN DT NNP	B-PP B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP	# dr. poos	leave	the government ¬ †
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7672	1999 Dr. Poos	was elected as	a Member of European Parliament	1	4	10	13	13	18	0.9877759055776136	In 1999 Dr. Poos left the government ¬ † and was elected as a Member of European Parliament , where he sat on the Committee for Foreign Affairs , Human Rights , Common Security and Defense Policy , and was the draftsman for Cyprus‚Äô accession into the EU.	IN CD NNP NNP VBD DT NN NN NN CC VBD VBN IN DT NNP IN NNP NNP , WRB PRP VBD IN DT NNP IN NNP NNP , NNP NNPS , NNP NNP CC NNP NNP , CC VBD DT NN IN NNP NN IN DT NNP	B-PP B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP	# dr. poos	elect as	a member of european parliament
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7672	he	sat on	the Committee	20	21	21	23	23	25	0.9895887077754362	In 1999 Dr. Poos left the government ¬ † and was elected as a Member of European Parliament , where he sat on the Committee for Foreign Affairs , Human Rights , Common Security and Defense Policy , and was the draftsman for Cyprus‚Äô accession into the EU.	IN CD NNP NNP VBD DT NN NN NN CC VBD VBN IN DT NNP IN NNP NNP , WRB PRP VBD IN DT NNP IN NNP NNP , NNP NNPS , NNP NNP CC NNP NNP , CC VBD DT NN IN NNP NN IN DT NNP	B-PP B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP	he	sit on	the committee
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7672	Common Security	was	the draftsman	32	34	39	40	40	42	0.7967866945196428	In 1999 Dr. Poos left the government ¬ † and was elected as a Member of European Parliament , where he sat on the Committee for Foreign Affairs , Human Rights , Common Security and Defense Policy , and was the draftsman for Cyprus‚Äô accession into the EU.	IN CD NNP NNP VBD DT NN NN NN CC VBD VBN IN DT NNP IN NNP NNP , WRB PRP VBD IN DT NNP IN NNP NNP , NNP NNPS , NNP NNP CC NNP NNP , CC VBD DT NN IN NNP NN IN DT NNP	B-PP B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP	common security	be	the draftsman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7673	He	is one of	the most articulate defenders of a decentralized Europe	0	1	1	4	4	12	0.6388379139033851	He is one of the most articulate defenders of a decentralized Europe , and against the pro-centralization attempts to transfer the seat of the European Parliament from Strasbourg to Brussels .	PRP VBZ CD IN DT RBS JJ NNS IN DT VBN NNP , CC IN DT NN VBZ TO VB DT NN IN DT NNP NNP IN NNP TO NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP I-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP O	he	be one of	the most articulate defenders of a decentralized europe
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7673	the pro-centralization	attempts to transfer	the seat of the European Parliament	15	17	17	20	20	26	0.5333108978186344	He is one of the most articulate defenders of a decentralized Europe , and against the pro-centralization attempts to transfer the seat of the European Parliament from Strasbourg to Brussels .	PRP VBZ CD IN DT RBS JJ NNS IN DT VBN NNP , CC IN DT NN VBZ TO VB DT NN IN DT NNP NNP IN NNP TO NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP I-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP O	the pro-centralization	attempt to transfer	the seat of the european parliament
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7679	he	retired from	political life	2	3	3	5	5	7	0.136900181553715	In 2004 he retired from political life , but he remains active as non-executive director in the boards of different national and international institutions and companies .	IN CD PRP VBD IN JJ NN , CC PRP VBZ JJ IN JJ NN IN DT NNS IN JJ JJ CC JJ NNS CC NNS .	B-PP B-NP B-NP B-VP B-PP B-NP I-NP O O B-NP B-VP B-ADJP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	retire from	political life
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7679	he	remains active as	non-executive director	9	10	10	13	13	15	0.36370505163292244	In 2004 he retired from political life , but he remains active as non-executive director in the boards of different national and international institutions and companies .	IN CD PRP VBD IN JJ NN , CC PRP VBZ JJ IN JJ NN IN DT NNS IN JJ JJ CC JJ NNS CC NNS .	B-PP B-NP B-NP B-VP B-PP B-NP I-NP O O B-NP B-VP B-ADJP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	remain active as	non-executive director
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7680	Dr. Jacques F. Poos	is also a member of	the Advisory Board of the Institute	0	4	4	9	9	15	0.9290922391925304	Dr. Jacques F. Poos is also a member of the Advisory Board of the Institute for Cultural Diplomacy .	NNP NNP NNP NNP VBZ RB DT NN IN DT NNP NNP IN DT NNP IN NNP NNP .	B-NP I-NP I-NP I-NP B-VP B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP O	dr. jacques f. poos	be member of	the advisory board of the institute
