/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8137	Jacques Hugues Sylla	was	a Malagasy politician	0	3	3	4	4	7	0.9999999999144422	Jacques Hugues Sylla was a Malagasy politician .	NNP NNP NNP VBD DT JJ NN .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jacques hugues sylla	be	a malagasy politician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8149	Ravalomanana	appointed	Charles Rabemananjara	24	25	27	28	28	30	0.849120088599273	Sylla resigned as Prime Minister on 19 January 2007 , at the end of Ravalomanana 's first term ; his resignation was accepted by Ravalomanana , who appointed Charles Rabemananjara as Prime Minister on 20 January .	NNP VBD IN NNP NNP IN CD NNP CD , IN DT NN IN NNP POS JJ NN : PRP$ NN VBD VBN IN NNP , WP VBD NNP NNP IN NNP NNP IN CD NNP .	B-NP B-VP B-PP B-NP I-NP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-NP I-NP I-NP O	ravalomanana	appoint	charles rabemananjara
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8150	Sylla	stood as	a TIM candidate	7	8	8	10	10	13	0.91360963514526	In the September 2007 parliamentary election , Sylla stood as a TIM candidate in the Sainte-Marie constituency , winning with 51.04 % of the vote according to provisional results .	IN DT NNP CD JJ NN , NNP VBD IN DT NNP NN IN DT NNP NN , VBG IN CD NN IN DT NN VBG TO JJ NNS .	B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP O	sylla	stand as	a tim candidate
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8151	Sylla	was elected as	President of the National Assembly	10	11	11	14	14	19	0.9728099262732228	When the new session of the National Assembly began , Sylla was elected as President of the National Assembly on October 23 , 2007 ; he was the only candidate and received 123 votes from the 124 deputies present , with one blank vote .	WRB DT JJ NN IN DT NNP NNP VBD , NNP VBD VBN IN NNP IN DT NNP NNP IN NNP CD , CD : PRP VBD DT JJ NN CC VBD CD NNS IN DT CD NNS JJ , IN CD JJ NN .	B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-ADJP O B-PP B-NP I-NP I-NP O	sylla	elect as	president of the national assembly
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8151	he	was	the only candidate	25	26	26	27	27	30	0.223774423468918	When the new session of the National Assembly began , Sylla was elected as President of the National Assembly on October 23 , 2007 ; he was the only candidate and received 123 votes from the 124 deputies present , with one blank vote .	WRB DT JJ NN IN DT NNP NNP VBD , NNP VBD VBN IN NNP IN DT NNP NNP IN NNP CD , CD : PRP VBD DT JJ NN CC VBD CD NNS IN DT CD NNS JJ , IN CD JJ NN .	B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-ADJP O B-PP B-NP I-NP I-NP O	he	be	the only candidate
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8151	he	received	123 votes	25	26	31	32	32	34	0.2636531728788988	When the new session of the National Assembly began , Sylla was elected as President of the National Assembly on October 23 , 2007 ; he was the only candidate and received 123 votes from the 124 deputies present , with one blank vote .	WRB DT JJ NN IN DT NNP NNP VBD , NNP VBD VBN IN NNP IN DT NNP NNP IN NNP CD , CD : PRP VBD DT JJ NN CC VBD CD NNS IN DT CD NNS JJ , IN CD JJ NN .	B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-ADJP O B-PP B-NP I-NP I-NP O	he	receive	# votes
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8152	Sylla	was an ex officio member of	the national political bureau of TIM	7	8	8	14	14	20	0.9206276904971528	As President of the National Assembly , Sylla was an ex officio member of the national political bureau of TIM and therefore remained on the political bureau at TIM 's May 2008 congress .	IN NNP IN DT NNP NNP , NNP VBD DT NN NN NN IN DT JJ JJ NN IN NNP CC RB VBD IN DT JJ NN IN NNP POS NNP CD NN .	B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-ADVP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	sylla	be ex officio member of	the national political bureau of tim
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8152	Sylla	therefore remained on	the political bureau	7	8	21	24	24	27	0.9980145572825814	As President of the National Assembly , Sylla was an ex officio member of the national political bureau of TIM and therefore remained on the political bureau at TIM 's May 2008 congress .	IN NNP IN DT NNP NNP , NNP VBD DT NN NN NN IN DT JJ JJ NN IN NNP CC RB VBD IN DT JJ NN IN NNP POS NNP CD NN .	B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-ADVP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	sylla	remain on	the political bureau
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8153	Sylla	was	a Catholic	0	1	1	2	2	4	0.9737930701543489	Sylla was a Catholic , a Côtier , and had dual Malagasy and French nationality .	NNP VBD DT NNP , DT NN , CC VBD JJ JJ CC JJ NN .	B-NP B-VP B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP O	sylla	be	a catholic
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8153	a Catholic	had	dual Malagasy and French nationality	2	4	9	10	10	15	0.7737951835520223	Sylla was a Catholic , a Côtier , and had dual Malagasy and French nationality .	NNP VBD DT NNP , DT NN , CC VBD JJ JJ CC JJ NN .	B-NP B-VP B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP O	a catholic	have	dual malagasy and french nationality
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8154	Sylla	participated in	negotiations	7	8	8	10	10	11	0.6548773783230757	During the 2009 Malagasy political crisis , Sylla participated in negotiations between President Ravalomanana and opposition leader Andry Rajoelina on February 24 , 2009 .	IN DT CD JJ JJ NN , NNP VBD IN NNS IN NNP NNP CC NN NN NNP NNP IN NNP CD , CD .	B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	sylla	participate in	negotiations
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8155	he	was joining	the opposition	15	16	16	18	18	20	0.09111040261117835	Subsequently , at an opposition rally on March 14 , 2009 , Sylla announced that he was joining the opposition and said that Ravalomanana should resign ; according to Sylla , that was the only solution and " as President of the National Assembly , I have to recognise reality . "	RB , IN DT NN NN IN NNP CD , CD , NNP VBD IN PRP VBD VBG DT NN CC VBD IN NNP MD VB : VBG TO NNP , WDT VBD DT JJ NN CC `` IN NNP IN DT NNP NNP , PRP VBP TO VB NN . ''	B-ADVP O B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-SBAR B-NP B-VP I-VP B-NP I-NP O B-VP B-SBAR B-NP B-VP I-VP O B-PP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP O O B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP I-VP B-NP O O	he	join	the opposition
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8155	Sylla	was	the only solution	29	30	32	33	33	36	0.09653236501878498	Subsequently , at an opposition rally on March 14 , 2009 , Sylla announced that he was joining the opposition and said that Ravalomanana should resign ; according to Sylla , that was the only solution and " as President of the National Assembly , I have to recognise reality . "	RB , IN DT NN NN IN NNP CD , CD , NNP VBD IN PRP VBD VBG DT NN CC VBD IN NNP MD VB : VBG TO NNP , WDT VBD DT JJ NN CC `` IN NNP IN DT NNP NNP , PRP VBP TO VB NN . ''	B-ADVP O B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-SBAR B-NP B-VP I-VP B-NP I-NP O B-VP B-SBAR B-NP B-VP I-VP O B-PP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP O O B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP I-VP B-NP O O	sylla	be	the only solution
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8155	I	have to recognise	reality	45	46	46	49	49	50	0.017854741166287165	Subsequently , at an opposition rally on March 14 , 2009 , Sylla announced that he was joining the opposition and said that Ravalomanana should resign ; according to Sylla , that was the only solution and " as President of the National Assembly , I have to recognise reality . "	RB , IN DT NN NN IN NNP CD , CD , NNP VBD IN PRP VBD VBG DT NN CC VBD IN NNP MD VB : VBG TO NNP , WDT VBD DT JJ NN CC `` IN NNP IN DT NNP NNP , PRP VBP TO VB NN . ''	B-ADVP O B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-SBAR B-NP B-VP I-VP B-NP I-NP O B-VP B-SBAR B-NP B-VP I-VP O B-PP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP O O B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP I-VP B-NP O O	i	have to recognise	reality
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8156	Rajoelina	appointed	Sylla	0	1	1	2	2	3	0.9469705806066386	Rajoelina appointed Sylla as President of the Transitional Congress on 8 September 2009 ; he also appointed a new government on the same date .	NNP VBD NNP IN NNP IN DT NNP NNP IN CD NNP CD : PRP RB VBD DT JJ NN IN DT JJ NN .	B-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-ADVP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	rajoelina	appoint	sylla
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8156	he	also appointed	a new government	14	15	15	17	17	20	0.1985207589311846	Rajoelina appointed Sylla as President of the Transitional Congress on 8 September 2009 ; he also appointed a new government on the same date .	NNP VBD NNP IN NNP IN DT NNP NNP IN CD NNP CD : PRP RB VBD DT JJ NN IN DT JJ NN .	B-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-ADVP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	appoint	a new government
