/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2092	Jacques Amyot	was born of	poor parents	0	2	9	12	12	14	0.8928336753661167	Jacques Amyot , French Renaissance writer and translator , was born of poor parents , at Melun .	NNP NNP , NNP NNP NN CC NN , VBD VBN IN JJ NNS , IN NNP .	B-NP I-NP O B-NP I-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP O B-PP B-NP O	jacques amyot	bear of	poor parents
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2101	he	continued to live in	comparative quiet	12	13	13	17	17	19	0.03313731235686879	Pius V promoted him to the bishopric of Auxerre , and here he continued to live in comparative quiet , repairing his cathedral and perfecting his translations , for the rest of his days , though troubled towards the close by the insubordination and revolts of his clergy .	NNP NNP VBD PRP TO DT NN IN NNP , CC RB PRP VBD TO VB IN JJ JJ , VBG PRP$ NN CC VBG PRP$ NNS , IN DT NN IN PRP$ NNS , IN VBN IN DT NN IN DT NN CC NNS IN PRP$ NN .	B-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O O B-ADVP B-NP B-VP I-VP I-VP B-PP B-NP I-NP O B-VP B-NP I-NP O B-VP B-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP O B-SBAR B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	continue to live in	comparative quiet
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2102	He	was	a devout and conscientious churchman	0	1	1	2	2	7	0.48947808379059926	He was a devout and conscientious churchman , and had the courage to stand by his principles .	PRP VBD DT JJ CC JJ NN , CC VBD DT NN TO VB IN PRP$ NNS .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O O B-VP B-NP I-NP B-VP I-VP B-PP B-NP I-NP O	he	be	a devout and conscientious churchman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2102	He	had the courage to stand by	his principles	0	1	9	15	15	17	0.31824781942107416	He was a devout and conscientious churchman , and had the courage to stand by his principles .	PRP VBD DT JJ CC JJ NN , CC VBD DT NN TO VB IN PRP$ NNS .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O O B-VP B-NP I-NP B-VP I-VP B-PP B-NP I-NP O	he	have courage to stand by	his principles
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2103	he	advised	the chaplain of Henry III	4	5	5	6	6	11	0.002408029307029806	It is said that he advised the chaplain of Henry III to refuse absolution to the king after the murder of the Guise princes .	PRP VBZ VBD IN PRP VBD DT NN IN NNP NNP TO VB NN TO DT NN IN DT NN IN DT NNP NNS .	B-NP B-VP I-VP B-SBAR B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	he	advise	the chaplain of henry iii
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2105	he	was compelled to leave	Auxerre	6	7	7	11	11	12	0.3120716868893074	His house was plundered , and he was compelled to leave Auxerre for some time .	PRP$ NN VBD VBN , CC PRP VBD VBN TO VB NNP IN DT NN .	B-NP I-NP B-VP I-VP O O B-NP B-VP I-VP I-VP I-VP B-NP B-PP B-NP I-NP O	he	compel to leave	auxerre
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2106	He	died	bequeathing	0	1	1	2	2	3	0.4312384455538857	He died bequeathing , it is said , 1200 crowns to the hospital at Orléans for the twelve deniers he received there when "poor and naked " on his way to Paris .	PRP VBD NN , PRP VBZ VBN , CD NNS TO DT NN IN NNP IN DT CD NNS PRP VBD RB WRB JJ CC JJ '' IN PRP$ NN TO NNP .	B-NP B-VP B-NP O B-NP B-VP I-VP O B-NP I-NP B-PP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP B-NP B-VP B-ADVP B-ADVP B-NP I-NP I-NP O B-PP B-NP I-NP B-PP B-NP O	he	die	bequeathing
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2107	He	translated	seven books of Diodorus Siculus	0	1	1	2	2	7	0.9999999996926376	He translated seven books of Diodorus Siculus .	PRP VBD CD NNS IN NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O	he	translate	# books of diodorus siculus
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2108	Vies des	hommes	illustres	8	10	10	11	11	12	0.8262105609946117	His vigorous and idiomatic version of Plutarch , Vies des hommes illustres , was translated into English by Sir Thomas North , and supplied Shakespeare with materials for his Roman plays .	PRP$ JJ CC JJ NN IN NNP , NNP NNP VBZ NNS , VBD VBN IN NNP IN NNP NNP NNP , CC VBD NNP IN NNS IN PRP$ NNP NNS .	B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-NP O B-VP I-VP B-PP B-NP B-PP B-NP I-NP I-NP O O B-VP B-NP B-PP B-NP B-PP B-NP I-NP I-NP O	vies des	homme	illustres
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2108	Vies des	was translated into	English	8	10	13	16	16	17	0.9728099262732228	His vigorous and idiomatic version of Plutarch , Vies des hommes illustres , was translated into English by Sir Thomas North , and supplied Shakespeare with materials for his Roman plays .	PRP$ JJ CC JJ NN IN NNP , NNP NNP VBZ NNS , VBD VBN IN NNP IN NNP NNP NNP , CC VBD NNP IN NNS IN PRP$ NNP NNS .	B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-NP O B-VP I-VP B-PP B-NP B-PP B-NP I-NP I-NP O O B-VP B-NP B-PP B-NP B-PP B-NP I-NP I-NP O	vies des	translate into	english
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2108	English	supplied	Shakespeare	16	17	23	24	24	25	0.9454987507777222	His vigorous and idiomatic version of Plutarch , Vies des hommes illustres , was translated into English by Sir Thomas North , and supplied Shakespeare with materials for his Roman plays .	PRP$ JJ CC JJ NN IN NNP , NNP NNP VBZ NNS , VBD VBN IN NNP IN NNP NNP NNP , CC VBD NNP IN NNS IN PRP$ NNP NNS .	B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-NP O B-VP I-VP B-PP B-NP B-PP B-NP I-NP I-NP O O B-VP B-NP B-PP B-NP B-PP B-NP I-NP I-NP O	english	supply	shakespeare
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2109	Montaigne	said of	him	0	1	1	3	3	4	0.284412041348299	Montaigne said of him , " I give the palm to Jacques Amyot over all our French writers , not only for the simplicity and purity of his language in which he surpasses all others , nor for his constancy to so long an undertaking , nor for his profound learning ... but I am grateful to him especially for his wisdom in choosing so valuable a work . "	NNP VBD IN PRP , `` PRP VBP DT NN TO NNP NNP IN DT PRP$ JJ NNS , RB RB IN DT NN CC NN IN PRP$ NN IN WDT PRP VBZ DT NNS , CC IN PRP$ NN TO RB JJ DT NN , CC IN PRP$ JJ NN : CC PRP VBP JJ TO PRP RB IN PRP$ NN IN VBG RB JJ DT NN . ''	B-NP B-VP B-PP B-NP O O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-CONJP I-CONJP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-NP B-VP B-NP I-NP O O B-PP B-NP I-NP B-VP I-VP I-VP B-NP I-NP O O B-PP B-NP I-NP I-NP O O B-NP B-VP B-ADJP B-PP B-NP B-ADVP B-PP B-NP I-NP B-PP B-VP B-NP I-NP B-NP I-NP O O	montaigne	say of	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2109	I	give	the palm	6	7	7	8	8	10	0.003503835389198901	Montaigne said of him , " I give the palm to Jacques Amyot over all our French writers , not only for the simplicity and purity of his language in which he surpasses all others , nor for his constancy to so long an undertaking , nor for his profound learning ... but I am grateful to him especially for his wisdom in choosing so valuable a work . "	NNP VBD IN PRP , `` PRP VBP DT NN TO NNP NNP IN DT PRP$ JJ NNS , RB RB IN DT NN CC NN IN PRP$ NN IN WDT PRP VBZ DT NNS , CC IN PRP$ NN TO RB JJ DT NN , CC IN PRP$ JJ NN : CC PRP VBP JJ TO PRP RB IN PRP$ NN IN VBG RB JJ DT NN . ''	B-NP B-VP B-PP B-NP O O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-CONJP I-CONJP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-NP B-VP B-NP I-NP O O B-PP B-NP I-NP B-VP I-VP I-VP B-NP I-NP O O B-PP B-NP I-NP I-NP O O B-NP B-VP B-ADJP B-PP B-NP B-ADVP B-PP B-NP I-NP B-PP B-VP B-NP I-NP B-NP I-NP O O	i	give	the palm
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2109	he	surpasses	all others	31	32	32	33	33	35	0.023101841431976498	Montaigne said of him , " I give the palm to Jacques Amyot over all our French writers , not only for the simplicity and purity of his language in which he surpasses all others , nor for his constancy to so long an undertaking , nor for his profound learning ... but I am grateful to him especially for his wisdom in choosing so valuable a work . "	NNP VBD IN PRP , `` PRP VBP DT NN TO NNP NNP IN DT PRP$ JJ NNS , RB RB IN DT NN CC NN IN PRP$ NN IN WDT PRP VBZ DT NNS , CC IN PRP$ NN TO RB JJ DT NN , CC IN PRP$ JJ NN : CC PRP VBP JJ TO PRP RB IN PRP$ NN IN VBG RB JJ DT NN . ''	B-NP B-VP B-PP B-NP O O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-CONJP I-CONJP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-NP B-VP B-NP I-NP O O B-PP B-NP I-NP B-VP I-VP I-VP B-NP I-NP O O B-PP B-NP I-NP I-NP O O B-NP B-VP B-ADJP B-PP B-NP B-ADVP B-PP B-NP I-NP B-PP B-VP B-NP I-NP B-NP I-NP O O	he	surpass	all others
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2109	I	am grateful to	him	53	54	54	57	57	58	0.022608144887177387	Montaigne said of him , " I give the palm to Jacques Amyot over all our French writers , not only for the simplicity and purity of his language in which he surpasses all others , nor for his constancy to so long an undertaking , nor for his profound learning ... but I am grateful to him especially for his wisdom in choosing so valuable a work . "	NNP VBD IN PRP , `` PRP VBP DT NN TO NNP NNP IN DT PRP$ JJ NNS , RB RB IN DT NN CC NN IN PRP$ NN IN WDT PRP VBZ DT NNS , CC IN PRP$ NN TO RB JJ DT NN , CC IN PRP$ JJ NN : CC PRP VBP JJ TO PRP RB IN PRP$ NN IN VBG RB JJ DT NN . ''	B-NP B-VP B-PP B-NP O O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-CONJP I-CONJP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-NP B-VP B-NP I-NP O O B-PP B-NP I-NP B-VP I-VP I-VP B-NP I-NP O O B-PP B-NP I-NP I-NP O O B-NP B-VP B-ADJP B-PP B-NP B-ADVP B-PP B-NP I-NP B-PP B-VP B-NP I-NP B-NP I-NP O O	i	be grateful to	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2110	It	was indeed to	Plutarch	0	1	1	4	4	5	0.3688945321833083	It was indeed to Plutarch that Amyot devoted his attention .	PRP VBD RB TO NNP IN NNP VBD PRP$ NN .	B-NP B-VP B-ADVP B-PP B-NP B-SBAR B-NP B-VP B-NP I-NP O	it	be to	plutarch
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2110	Amyot	devoted	his attention	6	7	7	8	8	10	0.8194086740858905	It was indeed to Plutarch that Amyot devoted his attention .	PRP VBD RB TO NNP IN NNP VBD PRP$ NN .	B-NP B-VP B-ADVP B-PP B-NP B-SBAR B-NP B-VP B-NP I-NP O	amyot	devote	his attention
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2111	His other translations	were	subsidiary	0	3	3	4	4	5	0.9999999998631213	His other translations were subsidiary .	PRP$ JJ NNS VBD NN .	B-NP I-NP I-NP B-VP B-NP O	his other translations	be	subsidiary
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2112	the manuscript	had been discovered by	him	10	12	12	16	16	17	0.22220406018943964	The version of Diodorus he did not publish , although the manuscript had been discovered by him .	DT NN IN NNP PRP VBD RB VB , IN DT NN VBD VBN VBN IN PRP .	B-NP I-NP I-NP I-NP B-NP B-VP I-VP I-VP O B-SBAR B-NP I-NP B-VP I-VP I-VP B-PP B-NP O	the manuscript	discover by	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2113	great pains	interpret correctly	the best authorities	2	4	7	9	9	12	0.5709780647620255	Amyot took great pains to find and interpret correctly the best authorities , but the interest of his books today lies in the style .	NNP VBD JJ NNS TO VB CC VB RB DT JJS NNS , CC DT NN IN PRP$ NNS RB VBZ IN DT NN .	B-NP B-VP B-NP I-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP B-ADVP B-VP B-PP B-NP I-NP O	great pains	interpret	the best authorities
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2113	the interest of his books	today lies in	the style	14	19	19	22	22	24	0.4462012474770144	Amyot took great pains to find and interpret correctly the best authorities , but the interest of his books today lies in the style .	NNP VBD JJ NNS TO VB CC VB RB DT JJS NNS , CC DT NN IN PRP$ NNS RB VBZ IN DT NN .	B-NP B-VP B-NP I-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP B-ADVP B-VP B-PP B-NP I-NP O	the interest of his books	lie in	the style
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2114	His translation	reads like	an original work	0	2	2	4	4	7	0.9999999998397944	His translation reads like an original work .	PRP$ NN VBZ IN DT JJ NN .	B-NP I-NP B-VP B-PP B-NP I-NP I-NP O	his translation	read like	an original work
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2115	The personal method of Plutarch	appealed to	a generation	0	5	5	7	7	9	0.3943424935045161	The personal method of Plutarch appealed to a generation addicted to memoirs and incapable of any general theory of history .	DT JJ NN IN NNP VBD TO DT NN VBD TO NNS CC JJ IN DT JJ NN IN NN .	B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP B-VP B-PP B-NP O B-ADJP B-PP B-NP I-NP I-NP I-NP I-NP O	the personal method of plutarch	appeal to	a generation
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2115	a generation	addicted to	memoirs	7	9	9	11	11	12	0.8157851216502213	The personal method of Plutarch appealed to a generation addicted to memoirs and incapable of any general theory of history .	DT JJ NN IN NNP VBD TO DT NN VBD TO NNS CC JJ IN DT JJ NN IN NN .	B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP B-VP B-PP B-NP O B-ADJP B-PP B-NP I-NP I-NP I-NP I-NP O	a generation	addict to	memoirs
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2116	Amyot 's book	obtained	an immense popularity	0	3	6	7	7	10	0.8856490172063212	Amyot 's book , therefore , obtained an immense popularity , and exercised great influence over successive generations of French writers .	NNP POS NN , RB , VBD DT JJ NN , CC VBD JJ NN IN JJ NNS IN JJ NNS .	B-NP I-NP I-NP O B-ADVP O B-VP B-NP I-NP I-NP O O B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	amyot 's book	obtain	an immense popularity
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2116	Amyot 's book	exercised great influence over	successive generations of French writers	0	3	12	16	16	21	0.9578209681573958	Amyot 's book , therefore , obtained an immense popularity , and exercised great influence over successive generations of French writers .	NNP POS NN , RB , VBD DT JJ NN , CC VBD JJ NN IN JJ NNS IN JJ NNS .	B-NP I-NP I-NP O B-ADVP O B-VP B-NP I-NP I-NP O O B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	amyot 's book	exercise influence over	successive generations of french writers
