/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8395	Uncle Jacques	is	a Canadian racer	9	11	11	12	12	15	0.3403943705051714	Jacques Villeneuve Sr . also known as Jacquo or Uncle Jacques is a Canadian racer .	NNP NNP NNP . RB VBN IN NNP CC NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP I-VP I-VP B-PP B-NP O B-NP I-NP B-VP B-NP I-NP I-NP O	uncle jacques	be	a canadian racer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8404	He	also won	the World Championship Snowmobile Derby	0	1	1	3	3	8	0.624153827226402	He also won the World Championship Snowmobile Derby in 1980 .	PRP RB VBD DT NNP NNP NNP NNP IN CD .	B-NP B-ADVP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O	he	win	the world championship snowmobile derby
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8405	he	took a pair of	drives	6	7	7	11	11	12	0.18985211738761468	At the end of 1981 , he took a pair of drives for the Arrows Formula One team , but failed to qualify for the Canadian Grand Prix , or the Caesars Palace Grand Prix .	IN DT NN IN CD , PRP VBD DT NN IN NNS IN DT NNPS NNP CD NN , CC VBD TO VB IN DT JJ NNP NNP , CC DT NNP NNP NNP NNP .	B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O O B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O	he	take pair of	drives
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8405	the Arrows Formula One team	failed to qualify for	the Canadian Grand Prix	13	18	20	24	24	28	0.8651331609675033	At the end of 1981 , he took a pair of drives for the Arrows Formula One team , but failed to qualify for the Canadian Grand Prix , or the Caesars Palace Grand Prix .	IN DT NN IN CD , PRP VBD DT NN IN NNS IN DT NNPS NNP CD NN , CC VBD TO VB IN DT JJ NNP NNP , CC DT NNP NNP NNP NNP .	B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O O B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O	the arrows formula # team	fail to qualify for	the canadian grand prix
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8406	he	competed in	the Cannonball Baker Sea-To-Shining-Sea Memorial Trophy Dash	2	3	3	5	5	12	0.17731177073243784	In 1979 he competed in the Cannonball Baker Sea-To-Shining-Sea Memorial Trophy Dash in a Porsche 928 co-piloted by John Lane .	IN CD PRP VBD IN DT NNP NNP NNP NNP NNP NNP IN DT NNP CD VBN IN NNP NNP .	B-PP B-NP B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-VP B-PP B-NP I-NP O	he	compete in	the cannonball baker sea-to-shining-sea memorial trophy dash
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8407	1982	started out with	Villeneuve	0	1	1	4	4	5	0.5110299166896093	1982 started out with Villeneuve winning the World Championship Snowmobile Derby .	CD VBD RP IN NNP VBG DT NNP NNP NNP NNP .	B-NP B-VP B-PRT B-PP B-NP B-VP B-NP I-NP I-NP I-NP I-NP O	#	start out with	villeneuve
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8408	The track	was exceptionally hard caused by	bitter cold	0	2	2	7	7	9	0.968907135821812	The track was exceptionally hard caused by bitter cold , and his team set up his sled for the conditions .	DT NN VBD RB JJ VBN IN JJ NN , CC PRP$ NN VBD RP PRP$ VBN IN DT NNS .	B-NP I-NP B-VP B-ADJP I-ADJP B-VP B-PP B-NP I-NP O O B-NP I-NP B-VP B-PRT B-NP I-NP B-PP B-NP I-NP O	the track	be hard cause by	bitter cold
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8408	his team	set up	his sled	11	13	13	15	15	17	0.6729963087534675	The track was exceptionally hard caused by bitter cold , and his team set up his sled for the conditions .	DT NN VBD RB JJ VBN IN JJ NN , CC PRP$ NN VBD RP PRP$ VBN IN DT NNS .	B-NP I-NP B-VP B-ADJP I-ADJP B-VP B-PP B-NP I-NP O O B-NP I-NP B-VP B-PRT B-NP I-NP B-PP B-NP I-NP O	his team	set up	his sled
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8409	He	took	home $ 11,300	0	1	1	2	2	5	0.3154313966713446	He took home $ 11,300 for his win , with cash and prizes totaling over $ 50,000 .	PRP VBD NN $ CD IN PRP$ VBP , IN NN CC NNS VBG IN $ CD .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-PP B-NP I-NP I-NP B-VP B-PP B-NP I-NP O	he	take	home $ #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8410	his brother Gilles Villeneuve	died in	May	8	12	12	14	14	15	0.8897378058074951	The rest of 1982 was difficult , after his brother Gilles Villeneuve died in May .	DT NN IN CD VBD JJ , IN PRP$ NN NNP NNP VBD IN NNP .	B-NP I-NP I-NP I-NP B-VP B-ADJP O B-PP B-NP I-NP I-NP I-NP B-VP B-PP B-NP O	his brother gilles villeneuve	die in	may
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8411	Jacques	spent most of	the year	0	1	1	4	4	6	0.8366926442967716	Jacques spent most of the year in Can-Am , though he would take a one-off drive in CART.	NNP VBD RBS IN DT NN IN NNP , IN PRP MD VB DT JJ NN IN NNP	B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP	jacques	spend most of	the year
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8411	he	would take a one-off drive in	CART.	10	11	11	17	17	18	0.23213097499641958	Jacques spent most of the year in Can-Am , though he would take a one-off drive in CART.	NNP VBD RBS IN DT NN IN NNP , IN PRP MD VB DT JJ NN IN NNP	B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP	he	take drive in	cart.
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8412	1983	saw	him	0	1	1	2	2	3	0.03803760105003327	1983 saw him take the Can-Am title , as well as another Formula One drive .	CD VBD PRP VB DT JJ NN , RB RB IN DT NNP CD NN .	B-NP B-VP B-NP B-VP B-NP I-NP I-NP O B-CONJP I-CONJP I-CONJP B-NP I-NP I-NP I-NP O	#	see	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8412	him	take	the Can-Am title	2	3	3	4	4	7	0.10958162516283097	1983 saw him take the Can-Am title , as well as another Formula One drive .	CD VBD PRP VB DT JJ NN , RB RB IN DT NNP CD NN .	B-NP B-VP B-NP B-VP B-NP I-NP I-NP O B-CONJP I-CONJP I-CONJP B-NP I-NP I-NP I-NP O	him	take	the can-am title
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8413	he	also kept up	his snowmobiling exploits	4	5	5	8	8	11	0.390121283866358	During this period , he also kept up his snowmobiling exploits , winning a number of prestigious races , and had a one-off Sportscar drive at the 1983 24 Hours of Le Mans .	IN DT NN , PRP RB VBD RP PRP$ VBG NNS , VBG DT NN IN JJ NNS , CC VBD DT JJ NN NN IN DT CD CD NNS IN NNP NNP .	B-PP B-NP I-NP O B-NP B-ADVP B-VP B-PRT B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	keep up	his snowmobiling exploits
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8413	his snowmobiling exploits	had	a one-off Sportscar drive	8	11	20	21	21	25	0.6898895929798854	During this period , he also kept up his snowmobiling exploits , winning a number of prestigious races , and had a one-off Sportscar drive at the 1983 24 Hours of Le Mans .	IN DT NN , PRP RB VBD RP PRP$ VBG NNS , VBG DT NN IN JJ NNS , CC VBD DT JJ NN NN IN DT CD CD NNS IN NNP NNP .	B-PP B-NP I-NP O B-NP B-ADVP B-VP B-PRT B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	his snowmobiling exploits	have	a one-off sportscar drive
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8414	1984	saw a return to	CART	0	1	1	5	5	6	0.989755001894428	1984 saw a return to CART , with Villeneuve ranking 15th overall , having taken pole position at the Phoenix round .	CD VBD DT NN TO NNP , IN NNP VBG JJ JJ , VBG VBN NN NN IN DT NNP NN .	B-NP B-VP B-NP I-NP B-PP B-NP O B-PP B-NP B-VP B-NP I-NP O B-VP I-VP B-NP I-NP B-PP B-NP I-NP I-NP O	#	see return to	cart
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8415	he	became the first Canadian to win	a CART race	3	4	4	10	10	13	0.20285964142514548	The following year he became the first Canadian to win a CART race , taking victory in the wet/dry race at Road America on his way to 8th overall in the standings .	DT VBG NN PRP VBD DT JJ JJ TO VB DT NNP NN , VBG NN IN DT JJ NN IN NNP NNP IN PRP$ NN TO CD JJ IN DT NNS .	B-NP I-NP I-NP B-NP B-VP B-NP I-NP B-ADJP B-VP I-VP B-NP I-NP I-NP O B-VP B-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP O	he	become first canadian to win	a cart race
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8416	He	became	the only person	0	1	1	2	2	5	0.04098923407185794	He became the only person to win a third World Championship Snowmobile Derby in 1986 .	PRP VBD DT JJ NN TO VB DT JJ NNP NNP NNP NNP IN CD .	B-NP B-VP B-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O	he	become	the only person
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8417	Villeneuve	scaled back	his motor	15	16	16	18	18	20	0.2879140350773188	After spending the season of CART and his only appearance in the Indianapolis 500 , Villeneuve scaled back his motor racing activities , though he has regularly returned for occasional drives to CART , Formula Atlantic and IMSA .	IN VBG DT NN IN NNP CC PRP$ JJ NN IN DT NNP CD , NNP VBD RP PRP$ NN VBG NNS , IN PRP VBZ RB VBN IN JJ NNS TO NNP , NNP NNP CC NNP .	B-PP B-VP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-PRT B-NP I-NP B-VP B-NP O B-SBAR B-NP B-VP I-VP I-VP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP I-NP I-NP O	villeneuve	scale back	his motor
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8417	he	has regularly returned for	occasional drives	24	25	25	29	29	31	0.03643165266456645	After spending the season of CART and his only appearance in the Indianapolis 500 , Villeneuve scaled back his motor racing activities , though he has regularly returned for occasional drives to CART , Formula Atlantic and IMSA .	IN VBG DT NN IN NNP CC PRP$ JJ NN IN DT NNP CD , NNP VBD RP PRP$ NN VBG NNS , IN PRP VBZ RB VBN IN JJ NNS TO NNP , NNP NNP CC NNP .	B-PP B-VP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-PRT B-NP I-NP B-VP B-NP O B-SBAR B-NP B-VP I-VP I-VP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP I-NP I-NP O	he	return for	occasional drives
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8419	Villeneuve	was seriously injured in	an accident	6	7	7	11	11	13	0.8652220700521817	On January 18 , 2008 , Villeneuve was seriously injured in an accident during a snowmobile race at Eagle River , Wisconsin .	IN NNP CD , CD , NNP VBD RB VBN RP DT NN IN DT NN NN IN NNP NNP , NNP .	B-PP B-NP I-NP I-NP I-NP O B-NP B-VP I-VP I-VP B-ADVP B-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP O	villeneuve	injure in	an accident
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8420	He	suffered	multiple leg	0	1	1	2	2	4	0.3704611538277285	He suffered multiple leg and pelvic fractures as a result , in addition to a spinal injury .	PRP VBD JJ NN CC JJ NNS IN DT NN , IN NN TO DT JJ NN .	B-NP B-VP B-NP I-NP O B-NP I-NP B-PP B-NP I-NP O B-PP B-NP B-PP B-NP I-NP I-NP O	he	suffer	multiple leg
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8421	it	will take	Villeneuve seven	4	5	5	7	7	9	0.004914402486964324	It is estimated that it will take Villeneuve seven to nine months to recover from his injuries .	PRP VBZ VBN IN PRP MD VB NNP CD TO CD NNS TO VB IN PRP$ NNS .	B-NP B-VP I-VP B-SBAR B-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP B-VP I-VP B-PP B-NP I-NP O	it	take	villeneuve #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8422	Jacques Villeneuve	was inducted into	the Canadian Motorsport Hall of Fame	3	5	5	8	8	14	0.9701281887015859	" Uncle " Jacques Villeneuve was inducted into the Canadian Motorsport Hall of Fame in 2001 .	`` NNP '' NNP NNP VBD VBN IN DT JJ NNP NNP IN NNP IN CD .	O B-NP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O	jacques villeneuve	induct into	the canadian motorsport hall of fame
