/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4497	1160/70 – May 1 , 1240 )	was	a theologian chronicler	0	7	7	8	8	11	0.874111709033325	1160/70 – May 1 , 1240 ) was a theologian chronicler and cardinal from 1229 – 40 .	CD JJ NNP CD , CD -RRB- VBD DT JJ NN CC JJ IN CD NN CD .	B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP I-NP O	# ⊓ may # , # )	be	a theologian chronicler
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4504	He	returned to	Europe	0	1	1	3	3	4	0.6798990734036806	He returned to Europe in 1225 .	PRP VBD TO NNP IN CD .	B-NP B-VP B-PP B-NP B-PP B-NP O	he	return to	europe
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4505	July 29 , 1229 Pope Gregory IX	elevated	him	4	11	11	12	12	13	0.03259151710137291	Between April 16 and July 29 , 1229 Pope Gregory IX elevated him to the College of Cardinals and transferred him to the suburbicarian see of Frascati .	IN NNP CD CC NNP CD , CD NNP NNP NNP VBD PRP TO DT NNP IN NNP CC VBD PRP TO DT JJ VBP IN NNP .	B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O	july # , # pope gregory ix	elevate	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4505	him	transferred	him	12	13	19	20	20	21	0.0038007348911655893	Between April 16 and July 29 , 1229 Pope Gregory IX elevated him to the College of Cardinals and transferred him to the suburbicarian see of Frascati .	IN NNP CD CC NNP CD , CD NNP NNP NNP VBD PRP TO DT NNP IN NNP CC VBD PRP TO DT JJ VBP IN NNP .	B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O	him	transfer	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4506	he	spent his last years working in	the papal curia	11	12	12	18	18	21	0.2734260759307513	With exception of short legation before Emperor Frederick II in 1232 he spent his last years working in the papal curia .	IN NN IN JJ NN IN NNP NNP NNP IN CD PRP VBD PRP$ JJ NNS VBG IN DT JJ NN .	B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP B-NP B-VP B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP O	he	spend year work in	the papal curia
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4507	He	subscribed	the papal bulls	0	1	1	2	2	5	0.3154313966713446	He subscribed the papal bulls between July 29 , 1229 and June 23 , 1239 .	PRP VBD DT JJ NNS IN NNP CD , CD CC NNP CD , CD .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O	he	subscribe	the papal bulls
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4508	He	died at	Rome	0	1	1	3	3	4	0.624153827226402	He died at Rome as Dean of the Sacred College of Cardinals .	PRP VBD IN NNP IN NNP IN DT NNP NNP IN NNP .	B-NP B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	die at	rome
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4509	His remains	have been transferred to	Oignies	0	2	2	6	6	7	0.9184353255341525	His remains have been transferred to Oignies and buried there in 1241 .	PRP$ NNS VBP VBN VBN TO NNS CC VBN RB IN CD .	B-NP I-NP B-VP I-VP I-VP B-PP B-NP O B-VP B-ADVP B-PP B-NP O	his remains	transfer to	oignies
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4510	his death	was elected	Patriarch of Jerusalem	19	21	21	23	23	26	0.8516761481631044	From the document issued by Gregory IX on May 14 , 1240 appears that Jacques de Vitry shortly before his death was elected Patriarch of Jerusalem , but this election was not ratified by the Pope .	IN DT NN VBN IN NNP NNP IN NNP CD , CD VBZ IN NNP NNP NNP RB IN PRP$ NN VBD VBN NNP IN NNP , CC DT NN VBD RB VBN IN DT NNP .	B-PP B-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADVP B-PP B-NP I-NP B-VP I-VP B-NP I-NP I-NP O O B-NP I-NP B-VP I-VP I-VP B-PP B-NP I-NP O	his death	elect	patriarch of jerusalem
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4510	this election	was not ratified by	the Pope	28	30	30	34	34	36	0.8855444710270982	From the document issued by Gregory IX on May 14 , 1240 appears that Jacques de Vitry shortly before his death was elected Patriarch of Jerusalem , but this election was not ratified by the Pope .	IN DT NN VBN IN NNP NNP IN NNP CD , CD VBZ IN NNP NNP NNP RB IN PRP$ NN VBD VBN NNP IN NNP , CC DT NN VBD RB VBN IN DT NNP .	B-PP B-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADVP B-PP B-NP I-NP B-VP I-VP B-NP I-NP I-NP O O B-NP I-NP B-VP I-VP I-VP B-PP B-NP I-NP O	this election	ratify by	the pope
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4511	his works	include hundreds of	sermons	5	7	7	10	10	11	0.6627443430026688	Aside from the Historia , his works include hundreds of sermons , and letters to Pope Honorius III .	RB IN DT NNP , PRP$ NNS VBP NNS IN NNS , CC NNS TO NNP NNP NNP .	B-ADVP B-PP B-NP I-NP O B-NP I-NP B-VP B-NP I-NP I-NP O O B-NP B-PP B-NP I-NP I-NP O	his works	include hundred of	sermons
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4512	He	also wrote about	the immoral life of the students	0	1	1	4	4	10	0.2906278719070988	He also wrote about the immoral life of the students at the University of Paris and the holy life of the Beguines of Liege and , in particular , the Life of Marie d'Oignies .	PRP RB VBD IN DT JJ NN IN DT NNS IN DT NNP IN NNP CC DT JJ NN IN DT NNP IN NNP CC , IN JJ , DT NN IN NNP NNS .	B-NP B-ADVP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP O B-NP I-NP I-NP I-NP I-NP O	he	write about	the immoral life of the students
