/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18402	Jair Ventura Filho	is	a former association footballer	0	3	9	10	10	14	0.8027153697296268	Jair Ventura Filho , better known as Jairzinho , is a former association footballer .	NNP NNP NNP , RB VBN IN NNP , VBZ DT JJ NN NN .	B-NP I-NP I-NP O B-VP I-VP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP O	jair ventura filho	be	a former association footballer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18409	Jairzinho	was born in	Rio de Janeiro	0	1	1	4	4	7	0.9878484195117798	Jairzinho was born in Rio de Janeiro , where he went through the youth setup at local club Botafogo .	NNP VBD VBN IN NNP NNP NNP , WRB PRP VBD IN DT NN NN IN JJ NN NN .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	jairzinho	bear in	rio de janeiro
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18409	he	went through	the youth setup	9	10	10	12	12	15	0.1985207589311846	Jairzinho was born in Rio de Janeiro , where he went through the youth setup at local club Botafogo .	NNP VBD VBN IN NNP NNP NNP , WRB PRP VBD IN DT NN NN IN JJ NN NN .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	go through	the youth setup
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18410	He	made his professional debut with	the club	0	1	1	6	6	8	0.5997582588549133	He made his professional debut with the club as a striker at the age of fifteen .	PRP VBD PRP$ JJ NN IN DT NN IN DT NN IN DT NN IN CD .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	he	make debut with	the club
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18411	he	would eventually replace for	both club and country	5	6	6	10	10	14	0.0801432056754244	His hero Garrincha , whom he would eventually replace for both club and country , also played at Botafogo , albeit in Jairzinho 's preferred position on the right wing .	PRP$ NN NNP , WP PRP MD RB VB IN DT NN CC NN , RB VBD IN NNP , IN IN NNP POS VBN NN IN DT JJ NN .	B-NP I-NP I-NP O B-NP B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-VP B-PP B-NP O B-PP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	replace for	both club and country
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18411	he	also played at	Botafogo	5	6	15	18	18	19	0.34252509424415	His hero Garrincha , whom he would eventually replace for both club and country , also played at Botafogo , albeit in Jairzinho 's preferred position on the right wing .	PRP$ NN NNP , WP PRP MD RB VB IN DT NN CC NN , RB VBD IN NNP , IN IN NNP POS VBN NN IN DT JJ NN .	B-NP I-NP I-NP O B-NP B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-VP B-PP B-NP O B-PP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	play at	botafogo
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18412	This	resulted in	Jairzinho spending most of his early games	0	1	1	3	3	10	0.4096408772593995	This resulted in Jairzinho spending most of his early games playing on the left wing or as a centre forward .	DT VBD IN NNP VBG JJS IN PRP$ JJ NNS VBG IN DT JJ NN CC IN DT NN RB .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-PP B-PP B-NP I-NP B-ADVP O	this	result in	jairzinho spending most of his early games
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18413	he	would fill in as	a right winger	2	3	3	7	7	10	0.17851517349112755	However , he would fill in as a right winger , by far his strongest position , when Garrincha was injured .	RB , PRP MD VB RP IN DT JJ NN , IN RB PRP$ JJS NN , WRB NNP VBD VBN .	B-ADVP O B-NP B-VP I-VP B-PRT B-PP B-NP I-NP I-NP O B-PP B-ADVP B-NP I-NP I-NP O B-ADVP B-NP B-VP I-VP O	he	fill in as	a right winger
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18414	He	made his international debut as	a 19 year	0	1	1	6	6	9	0.6568000998277224	He made his international debut as a 19 year old in 1964 against Portugal , again when Garrincha was injured .	PRP VBD PRP$ JJ NN IN DT CD NN JJ IN CD IN NNP , RB WRB NNP VBD VBN .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADJP B-PP B-NP B-PP B-NP O B-ADVP B-ADVP B-NP B-VP I-VP O	he	make debut as	a # year
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18415	He	played in	the 1966 FIFA World Cup	0	1	1	3	3	8	0.4946138394312085	He played in the 1966 FIFA World Cup in England , however , and with Garrincha back in the side , he played as a left winger .	PRP VBD IN DT CD NNP NNP NNP IN NNP , RB , CC IN NNP RB IN DT NN , PRP VBD IN DT JJ NN .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP O O B-PP B-NP B-ADVP B-PP B-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP O	he	play in	the # fifa world cup
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18415	he	played as	a left winger	21	22	22	24	24	27	0.27698389568845455	He played in the 1966 FIFA World Cup in England , however , and with Garrincha back in the side , he played as a left winger .	PRP VBD IN DT CD NNP NNP NNP IN NNP , RB , CC IN NNP RB IN DT NN , PRP VBD IN DT JJ NN .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP O O B-PP B-NP B-ADVP B-PP B-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP O	he	play as	a left winger
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18416	he	could n't prevent	Brazil	10	11	11	14	14	15	0.23743373865795175	Jairzinho struggled to be effective in this position , and he could n't prevent Brazil from exiting the competition at the first round .	NNP VBD TO VB JJ IN DT NN , CC PRP MD RB VB NNP IN VBG DT NN IN DT JJ NN .	B-NP B-VP I-VP I-VP B-ADJP B-PP B-NP I-NP O O B-NP B-VP I-VP I-VP B-NP B-PP B-VP B-NP I-NP B-PP B-NP I-NP I-NP O	he	prevent	brazil
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18417	Francis Pascual	announced his retirement from	international football	6	8	8	12	12	14	0.9414855438976443	When , after the tournament , Francis Pascual announced his retirement from international football , Jair Ventura finally took over his idol 's role for Brazil on the right wing .	WRB , IN DT NN , NNP NNP VBD PRP$ NN IN JJ NN , NNP NNP RB VBD RP PRP$ NN POS NN IN NNP IN DT JJ NN .	B-ADVP O B-PP B-NP I-NP O B-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP B-ADVP B-VP B-PRT B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O	francis pascual	announce retirement from	international football
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18417	Jair Ventura	finally took over	his idol 's role	15	17	17	20	20	24	0.550917269049603	When , after the tournament , Francis Pascual announced his retirement from international football , Jair Ventura finally took over his idol 's role for Brazil on the right wing .	WRB , IN DT NN , NNP NNP VBD PRP$ NN IN JJ NN , NNP NNP RB VBD RP PRP$ NN POS NN IN NNP IN DT JJ NN .	B-ADVP O B-PP B-NP I-NP O B-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP B-ADVP B-VP B-PRT B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O	jair ventura	take over	his idol 's role
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18418	Jairzinho	became	a far more effective and consistent performer	6	7	7	8	8	15	0.7458239936821157	Now in his favourite position , Jairzinho became a far more effective and consistent performer for country .	RB IN PRP$ JJ NN , NNP VBD DT RB RBR JJ CC JJ NN IN NN .	B-ADVP B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O	jairzinho	become	a far more effective and consistent performer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18419	Jairzinho	was one of	Brazil 's star players	9	10	10	13	13	17	0.949743461022336	At the 1970 FIFA World Cup in Mexico , Jairzinho was one of Brazil 's star players , and made history by scoring in every game for the Seleção , for which he received the epithet " Furacão da Copa" .	IN DT CD NNP NNP NNP IN NNP , NNP VBD CD IN NNP POS NN NNS , CC VBD NN IN VBG IN DT NN IN DT NNP , IN WDT PRP VBD DT NN `` NNP NNP NNP .	B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-VP B-NP B-PP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-PP B-NP B-NP B-VP B-NP I-NP O B-NP I-NP I-NP O	jairzinho	be one of	brazil 's star players
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18419	Jairzinho	made	history	9	10	19	20	20	21	0.7967866945196428	At the 1970 FIFA World Cup in Mexico , Jairzinho was one of Brazil 's star players , and made history by scoring in every game for the Seleção , for which he received the epithet " Furacão da Copa" .	IN DT CD NNP NNP NNP IN NNP , NNP VBD CD IN NNP POS NN NNS , CC VBD NN IN VBG IN DT NN IN DT NNP , IN WDT PRP VBD DT NN `` NNP NNP NNP .	B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-VP B-NP B-PP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-PP B-NP B-NP B-VP B-NP I-NP O B-NP I-NP I-NP O	jairzinho	make	history
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18419	he	received	the epithet	32	33	33	34	34	36	0.1222325702315112	At the 1970 FIFA World Cup in Mexico , Jairzinho was one of Brazil 's star players , and made history by scoring in every game for the Seleção , for which he received the epithet " Furacão da Copa" .	IN DT CD NNP NNP NNP IN NNP , NNP VBD CD IN NNP POS NN NNS , CC VBD NN IN VBG IN DT NN IN DT NNP , IN WDT PRP VBD DT NN `` NNP NNP NNP .	B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-VP B-NP B-PP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-PP B-NP B-NP B-VP B-NP I-NP O B-NP I-NP I-NP O	he	receive	the epithet
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18420	He	scored his seventh goal of	the tournament	0	1	1	6	6	8	0.3027515148251368	He scored his seventh goal of the tournament in Brazil 's 4–1 world cup win over Italy in the final .	PRP VBD PRP$ JJ NN IN DT NN IN NNP POS JJ NN NN VBP IN NNP IN DT JJ .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP B-PP B-NP I-NP O	he	score goal of	the tournament
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18420	Brazil 's 4–1 world cup	win over	Italy	9	14	14	16	16	17	0.8727108309824668	He scored his seventh goal of the tournament in Brazil 's 4–1 world cup win over Italy in the final .	PRP VBD PRP$ JJ NN IN DT NN IN NNP POS JJ NN NN VBP IN NNP IN DT JJ .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP B-PP B-NP I-NP O	brazil 's 4⊓1 world cup	win over	italy
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18421	the finals	were not enough to win	the Golden Boot	7	9	9	14	14	17	0.8610398740932844	However , his impressive goals tally at the finals were not enough to win the Golden Boot , which went to Germany 's Gerd Müller , who scored ten goals .	RB , PRP$ JJ NNS RB IN DT NNS VBD RB JJ TO VB DT NNP NNP , WDT VBD TO NNP POS NNP NNP , WP VBD CD NNS .	B-ADVP O B-NP I-NP I-NP B-ADVP B-PP B-NP I-NP B-VP O B-ADJP B-VP I-VP B-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP O	the finals	be enough to win	the golden boot
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18421	the Golden Boot	went to	Germany 's Gerd Müller	14	17	19	21	21	25	0.8834725940297313	However , his impressive goals tally at the finals were not enough to win the Golden Boot , which went to Germany 's Gerd Müller , who scored ten goals .	RB , PRP$ JJ NNS RB IN DT NNS VBD RB JJ TO VB DT NNP NNP , WDT VBD TO NNP POS NNP NNP , WP VBD CD NNS .	B-ADVP O B-NP I-NP I-NP B-ADVP B-PP B-NP I-NP B-VP O B-ADJP B-VP I-VP B-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP O	the golden boot	go to	germany 's gerd müller
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18421	Germany 's Gerd Müller	scored	ten goals	21	25	27	28	28	30	0.622191183073605	However , his impressive goals tally at the finals were not enough to win the Golden Boot , which went to Germany 's Gerd Müller , who scored ten goals .	RB , PRP$ JJ NNS RB IN DT NNS VBD RB JJ TO VB DT NNP NNP , WDT VBD TO NNP POS NNP NNP , WP VBD CD NNS .	B-ADVP O B-NP I-NP I-NP B-ADVP B-PP B-NP I-NP B-VP O B-ADJP B-VP I-VP B-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP O	germany 's gerd müller	score	# goals
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18422	FIFA	awarded	him	4	5	5	6	6	7	0.05271396282965874	Jairzinho has claimed that FIFA awarded him a "best body on the planet " prize for his athleticism ; however , FIFA has no record of this award .	NNP VBZ VBN IN NNP VBD PRP DT NN NN IN DT NN `` NN IN PRP$ NN : RB , NNP VBZ DT NN IN DT NN .	B-NP B-VP I-VP B-SBAR B-NP B-VP B-NP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-ADVP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP O	fifa	award	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18422	FIFA	has no record of	this award	21	22	22	26	26	28	0.4390089469675517	Jairzinho has claimed that FIFA awarded him a "best body on the planet " prize for his athleticism ; however , FIFA has no record of this award .	NNP VBZ VBN IN NNP VBD PRP DT NN NN IN DT NN `` NN IN PRP$ NN : RB , NNP VBZ DT NN IN DT NN .	B-NP B-VP I-VP B-SBAR B-NP B-VP B-NP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-ADVP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP O	fifa	have record of	this award
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18423	Jairzinho	moved to	Europe	6	7	7	9	9	10	0.5564762504058632	Following his display in Mexico , Jairzinho moved to Europe to play for French side Marseille .	VBG PRP$ NN IN NNP , NNP VBD TO NNP TO VB IN JJ NN NNP .	B-VP B-NP I-NP B-PP B-NP O B-NP B-VP B-PP B-NP B-VP I-VP B-PP B-NP I-NP I-NP O	jairzinho	move to	europe
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18424	he	struggled with	Marseille	2	3	3	5	5	6	0.5337196641673807	However , he struggled with Marseille and soon returned to Brazil to play for Cruzeiro , with whom he won the Copa Libertadores in 1976 .	RB , PRP VBD IN NNP CC RB VBD TO NNP TO VB IN NNP , IN WP PRP VBD DT NNP NNP IN CD .	B-ADVP O B-NP B-VP B-PP B-NP O B-VP I-VP B-PP B-NP B-VP I-VP B-PP B-NP O B-PP B-NP B-NP B-VP B-NP I-NP I-NP B-PP B-NP O	he	struggle with	marseille
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18424	he	soon returned to	Brazil	2	3	7	10	10	11	0.12441048453329266	However , he struggled with Marseille and soon returned to Brazil to play for Cruzeiro , with whom he won the Copa Libertadores in 1976 .	RB , PRP VBD IN NNP CC RB VBD TO NNP TO VB IN NNP , IN WP PRP VBD DT NNP NNP IN CD .	B-ADVP O B-NP B-VP B-PP B-NP O B-VP I-VP B-PP B-NP B-VP I-VP B-PP B-NP O B-PP B-NP B-NP B-VP B-NP I-NP I-NP B-PP B-NP O	he	return to	brazil
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18424	he	won	the Copa Libertadores	18	19	19	20	20	23	0.24997356811023755	However , he struggled with Marseille and soon returned to Brazil to play for Cruzeiro , with whom he won the Copa Libertadores in 1976 .	RB , PRP VBD IN NNP CC RB VBD TO NNP TO VB IN NNP , IN WP PRP VBD DT NNP NNP IN CD .	B-ADVP O B-NP B-VP B-PP B-NP O B-VP I-VP B-PP B-NP B-VP I-VP B-PP B-NP O B-PP B-NP B-NP B-VP B-NP I-NP I-NP B-PP B-NP O	he	win	the copa libertadores
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18425	the time	included the likes of	Nelinho	4	6	6	10	10	11	0.9071180981833443	The Cruzeiro team at the time included the likes of Nelinho and Dirceu Lopes .	DT NNP NN IN DT NN VBD DT NNS IN NNP CC NNP NNP .	B-NP I-NP I-NP B-PP B-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-NP I-NP O	the time	include likes of	nelinho
